Comment,Vote_useful,Date,Rating
"""A console/pc game that's able to run on phone.' Probably the best description I could think of. It's got the ""open-world"" correct(deym the map is huge).The combat is also pretty good as it's not ur typical hack and slash type rather a""create elemental reaction for huge damage"" combat. Dailys can be a bit annoying but the rewards make up for it. Really don't need any banner units to enjoy the game and if u want to just save for the pity. All in all, is a pretty good game.",131,"August 20, 2022",5
"The game experience is amazing, and even getting better with every update. but... something is bothering me... story quests and archon quests MUST be replayable after completing and claiming the rewards. that whould be a great ability,while you have a chance to play and enjoy the stories again. plz add this feature to the game, while that's not really a complicated thing. all of the sources are exist in the game data and you've just need add a list of completed stories with a replay option.",189,"August 5, 2022",4
"This game is really fun! But the problem is...when I started replaying the game to experience the cutscenes and excitement again, there was a bug or glitch? that just made me stuck at that archon quest. I want to do a domain so I can progress further, but the screen just freeze, so I waited for atleast 3p minutes and it just freezed. I logged out, and did the domain again but it was useless. Tried this for more than 5 times and I'm sick of it. Please fix it hoyoverse :(",233,"July 13, 2022",4
"I've only started playing on late 2.5 update bcos I didn't have anybcompatible device with this game, but I've seen my friends and streamers play this. In March this year I finally had the chance to play it myself. I might be exaggerating for some, but in this generation of open world games, this is one of the best and the best. The mechanics, the combat, the puzzles, the graphics, character designs, and ESPECIALLY THE STORY are just top notch. Can't wait to see more!",107,"August 23, 2022",5
"I love genhsin impact:) It's an awesome game, only problem is that it continuously glitches and way too much. Like for examamples, I could be fighting a boss, and it'll glitch mid fight and I'd loose health. Or i could be watching one of the uninteractive scenes and I wouldn't be able to see it and the voices would also glitch. But overrall, I absolutely LOVE this game. It's probably the best vidiogame I've played in awhile.",11,"September 4, 2022",5
"After entering Sumeru (Version 3.0 update), it feels like the game is more amazing. So many new contents: Archon quests, chain of many world quests, new events, new area to explore (Sumeru). I think it will take a lot of my time to clear all of those. The new map (Sumeru area) is so complex. Not to mention the new Dendro element. New characters to develop, too.",21,"September 5, 2022",5
"Genshin is a beautiful game with one of the best quality graphics, music and story line. However the game may be difficult for new players since it's always updating and takes up lots of space on your device. If new players aren't willing to spend much time on getting artifacts and building characters then they may not play. And talking in chat may be a problem as it is limited to short paragraphs.Other than that, Genshin is one of the best games I've played and it will continue to be that way.",157,"July 12, 2022",5
One of the best games with amazing graphics and one that the advertisement and promotional videos are actually how it looks like in the game. The laggyness some players experience is due to either their own phone or WiFi. I had the same problem with disconnecting with my old phone but got a new one and the graphics are absolutely amazing.,24,"August 23, 2022",5
This is a very nice game with beautiful scenery and fights. The only problem is with the size of the game. Now it is taking 20 gb of my phone space. Well for that level of graphics it may need that much space but I would be happy if I can delete unwanted things like voice lines and other things from my space to reduce the burden on my phone. Otherwise my phone may die by next year.,285,"August 25, 2022",5
"This is a solid RPG game with amazing story, lore and characters. The world is pretty and detailed, many times I forgot all about my quest and side tracked into exploring it. There were many moments when I just stopped to enjoy the view. Talking about the Gacha part, it's not too bad to be honest, you can get through the story and clear most content with free characters. If you save enough you can easily get a couple of 5 stars by AR45. It may be a bit spec heavy on phone, I mostly play on pc.",319,"August 6, 2022",5
"Seen I started playing, I've experienced new things and learned a lot by the stories. Playing with friends also feels good. I've been attached to this game . Graphics are good and I can run it smoothly in Medium. But only one problem. Please make more source of primogems. Getting a new character is really hard 🙂.",7,"August 24, 2022",5
"Haha. This game... blew my mind! I was hesitant to play after seeing the size of it, but downloaded it anyway. Mind blowing! Literally the best game in adventure genre. I'm able to run it on max settings and its been almost 2 days playing it. Found it hard to get what's going in game like quests, but after sometime, got used to it. I haven't experienced any bugs or glitches or lags till now. Will update my comment if I found one. I've recommended one of my friends also. I'm sure he'll love it.",239,"July 27, 2022",5
"This is undoubtedly my favorite open world game but I have a few complaints. I'm really hoping that they'll introduce the use of my Chromebook's keyboard since using the mobile layout doesn't always give the best gameplay. I also wish that they could add dmg numbers since it gets annoying when I can't see how much I do when I test my characters. It's also a bummer that I cannot see ice when water gets frozen in the game. Moreoever, the storyline, the characters and the events are great :)",765,"July 21, 2022",4
"This is the only game which has been in my phone for more than 2 years. Love the story, graphics and character designs they have created. The 45fps option is really good for me since 60fps was draining the battery pretty fast. Although, the occasional lag is still there. Here in India, iam getting 300ms+ ping(mobile data) and would like it to be atleast below 200ms for smoother switching characters and other experiences. That's all.",594,"August 4, 2022",4
"Genshin Impact is a really beautiful game and I love it! Though there's some bugs here and there on potato phones like the old yun jin and stormterror bug(they already fixed it), there's still some left like you can't see grass, you can't see damage, they really need to fix those. Overall this is a fun game with tons of freedom to explore the land that's available at the moment, the character designs are really cool, cute, and very detailed! Good luck to the new travelers out there! Ehe ;b",355,"July 13, 2022",5
"It's great the graphcics are great in pc but not much in phone. the story is continuous and really nice I love coming back home to play genshin. I have been playing it for 3 years now and it has never dissapointed me in any way. Even the character designs are great ,and their movements are fluid,in total the game is great and I would recommend anyone to play it.",524,"July 27, 2022",5
"I've never played a mobile game this long and almost everyday on my life! That shows how addicting the game is, but in a good way. The only frustration I have is that some events requires a lot of your time and attention and as a worker, its really a problem sometimes. But not all event are like that so I know miHoyo is considering all players. Graphics, lore and gameplay are definitely to die for. A game with constant updates and new contents? Genshin Impact has it all for you!",19,"August 24, 2022",5
"Truly one of the best games I've been fortunate enough to experience. The characters, the lore, the gameplay, the exploring (even tho it's tedious for me), I adore this game and it has helped me meet great people. The only issue for me is the game gets bland when you reach a higher level and there's not much to do towards the end of the update, except to wait for the new update. I hope they introduce some permanent things to keep us high ar level entertained.","1,540","July 12, 2022",5
"this is such a good game! even if it needs a lot of storage to download i still love it, and the character designs the battle scenes and the story line everything is amazing! and there's so much little details that i love, and I'm not gonna lie but i do want more dark skinned characters or maybe more representation but i do understand that everything is already planned out so I'm not going to complain, but overall it's an amazing game!",13,"August 24, 2022",5
"The story is exquisite. It is incredible, and the action is just right. The music is not only tailored to fit the regions, but I'm amazed by how beautiful they all sound. All details including the finer details when you look closer at them can really be worth exploring. Truly an experience worth the storage and worth spending money on despite it being a free game. Well done in creating such and excellent story game.",18,"August 26, 2022",5
"THIS GAME IS AMAZING, this game is so much fun I play it whenever I can!!! Edit: Still love this game but there are a few problems, it takes too much storage to be used on most devices. On chomebook (the only device I can currently use for this game) you cannot use the keyboard, only the touch screen. And as of now it crashes every time I attempt to start it. :(",55,"August 16, 2022",4
"I really love this game it my favourite already,but .. There is a little issue that I would like you to fix please, recently I've got to inazuma and well.. You can say that things haven't been going well honestly . It takes too long to download the area I keep falling every time I try to walk or climb adding that I can't even walk a single step without the game stopping, and in the videos in the main quests it always turns into a black screen it's really hard to play without being able to move",6,"August 31, 2022",5
"It's amazing and all but my phone can't take that much storage and there are already many things that I have a problem with, especially visual bugs. Like the grass, ice (on bodies of water), and especially the damage taken not being seen. Overall, it's a great game, I love it sm but please do fix these visual bugs as it greatly affects the gameplay. Much love to HoYoVerse<3",45,"August 24, 2022",4
"I've been playing this game for maybe 1y and I enjoy it, though it's extremely not perfect, this is the kind of game where you have to grind it (which can get exhausting) and the RNG of everything can be very unfair, but, the lore is amazing and the world is big and beautiful to explore, yes, it's not just the anime waifus, this game is actually good. I do have some issues with the phone version, I'm playing on Pixel 5 and I have a lot of connectivity issues and it constantly reconnects. 7.8/10",18,"August 11, 2022",4
"Game is good and I love the stories, quests and characters, all of them but except for one thing for low-end PC's or phones. The long loading just ruins it for me and you might know why. It's so triggering, right when the wrong moment comes; picking up something either they run away or when the loot from the chest rolls down and fall, plus when you try to open the map, adv book, characters, etc. It loads soooo long while you watch your character die from the monsters or fatui.",41,"August 26, 2022",3
"An amazing app! Good graphics, (a bit laggy, but that is kinda my device's fault), and no major problems so far. Well there was two problems that made me not play genshin for a solid 4 months, but both were my stupidity. (Not turning around and looking at a fricking wall thinking the 2nd floor is broken, ect.). No ads (I think) and a good storyline.",15,"August 15, 2022",5
"Great game, great graphics, fun reacton system, cool character design, bad resin timer, greedy company, zero communication, zero transparency. If you want a game to play for 5+ years, this is it! just make sure you don't do all the story in one go because you'll get burned out. Let yourself be lost while traveling the world. As for me, as a player since release, story and events eventually end and i only log in to do commission and use up all resin and im out. Which is just sad...",58,"August 23, 2022",3
"Very nice set up the characters and the scenery are awesome... If the device have much space and a good network.. the game is super fun to play with no lags and glitch what so ever... It really fun to play. Just the issue is the storage. When Inazuma map came it took half of the total storage and now with sumeru coming along, i think i might have to drop this game since my phone can't handle this much space. Pls give the users the right to delete some old files to reduce storage consumption.",17,"August 16, 2022",4
"I had installed genshin on my phone, it was fine. Now I've been trying for last 3 days to install it on my Samsung tablet but no matter how much space it has, it does not work. Stop giving us that pop-up screen that says ""hint"" not enough storage. Just tell us how many gb we need instead of that 'quirky' pop-up screen that annoys the hell out of everybody I don't know what the bug is that makes it so it doesn't like Samsung, but you need to fix it cuz I like gension but it's frustrating",7,"September 6, 2022",3
"It's been a while of playing, and I only hope the artifact system gets better anyhow. The story and everything else related to characters are always of great quality, the things behind that though, need a lot of polishing, like the Abyss, to make it easier for newer and less punishing to new players.",37,"August 24, 2022",3
"I want to say that I started to play this game around 9 months ago and on my old phone (Xiaomi mi 8) it worked without problems (except the overheating one that I think most phones suffer of). But now, on the Samsung S22 (Exynos) it has some really annoying crashes while in certain boss domains (example Signora). The boss would spawn only half (like only the head and the legs, and after getting to the 2nd phase, it completely freezes the game and the phone. So just 2* for the mobile vers. sadly.",20,"August 25, 2022",2
"Really fun game to distract you from stress, entertain you and help you interact with more people & gain new friends. Very interesting stories that make you want to watch it all as I've never skipped a single story. It's a very cool game and would certainly recommend to anyone into adventurous, interactive and entertaining games. My only small complaint is that it can be laggy sometimes but it might be cause of my device or my lack of storage. Overall it's a great game, solid 100/100.",14,"July 13, 2022",5
"Great characters, amazing music. There is one thing. For example it is very hard to get primogems but Project Sekai its very easy AND fun to get the get gems! I would like thag fixed because most of my friends (including me) uninstalled this app becauss we couldn't get the characters. Now I downloaded it again and lets hole it will be better. I want to see your opinion on this please.",0,"August 25, 2022",4
"Its really good! But whenever Dvalin appears the screen becomes glitchy, so I can't see or aim, I'm up to the part where you have to get rid of the blood clots on Dvalin, but I can't see, so it makes it impossible, Could you please fix it? I can't see, So I can't defeat the boss. If I can't defeat the boss I can't advance in the story. Theres also another weird glitch where when a water surface is frozen, I can't see the ice, But others can. Edit: Thanks so much the glitches have been fixed! :D",46,"August 23, 2022",5
"Perfect game for me. I love the characters, graphics, lore, music, strategy etc. It has tons of content but most of the content only needs to be done once instead of over and over again, so not grindy at all, which fits perfectly in my busy schedule. The game just keeps getting better and never fails to keep surprising me.",72,"August 10, 2022",5
"Absolutely love this game,the garphics ,the fights ,the story ,the characters i love it all. I definitely recommend this game to people who what an open world to explore,characters to upgrade , an amazing story as well as side quest to complete , puzzles to solve , daily content,etc. But good things come at a cost and for this it's storage😮‍💨. As well as a good phone and good wifi. But overall it's a nice game highly recommended.( resin system is TRASH).😁",2,"August 24, 2022",5
"Graphic,Music,Ost,Gameplay,Map,character design and especially the lore is excellent. It's a good game to relieve stress(unless you're a meta player). But the game is not optimized yet for most device (especially android). After each update,It's lagging. I hope they'll fix that in the future.",309,"September 11, 2022",5
"amazing video game, super addictive. The visuals are amazing, you get to explore a whole world, play as different characters, learn more about the character’s stories and do so many things! I especially love the storyline and visuals, even though im kinda behind on the archon quests.. i love rpgs and i like the unique battle styles. I wish there were ways to get primogems easier though..",21,"August 25, 2022",5
"I love the game. It's really fun to play, there's so much story, a lot of things to explore and find, but it gets a bit boring later. The gacha system takes ages&you barely get enough primogems from activities. Saving primos takes ages. And there's the lack of diversity; while the character designs are enjoyable and unique, there's no diversity in body types and skin color. Please do improve that! That&the slow-paced farming for materials are points of critique for an otherwise enjoyable game.",99,"July 13, 2022",2
"As someone who has played since launch, it can start to get tedious the longer you play it, as dailies become a repeat of doing coms, spending resin and logging out. What really gets me staying is the story, lore and worldbuilding, which is absolutely amazing. The open world is stunning too. I think the wishing system overall is fine. The artifact system however definitely needs more work. The resin also should have a shorter regeneration rate and a way to store excess resin like in Honkai.",860,"September 8, 2022",4
"Been playing since the first version, still my favourite game. Open world without everyone else running around in one server like hell, i like it with a vast map to explore myself and co op is optional. I can just immerse myself in the graphics, well structured storyline and lores. I love the music and voices, esp. in Korean. Despite very low probability of getting your favourite character..but a long-run f2p like me patient enough to save some primos can get a decent one time to time.",5,"September 1, 2022",5
"It's actually a beautiful game the graphics and quality is perfect! And the story line is also enjoyful and I love how everyone is making theories about the game! I really love the wishing animation too! This is a good work! And also I love the character designs, voice lines!. But I really hate this thing because the new version out is not available for my phone and it is not allowed in my phone so I can't really update it but now I can't play because of that please fix it I worked hard🙁",5,"August 28, 2022",2
"Cool, very fun, can't stop playing Edit: 50 adventure levels later and the game glitches for me to the point I can't play it, glitch makes it impossible to enjoy playing archon quests, because those big fights should be most fun right? Well because of the glitch that happens every time I do multiple attacks at once the game glitches to the point my phone overheats (and I'm not able to play anywhere other than a phone, and up until now I enjoyed this game too much) .. disappointed ... very.. fix",12,"July 15, 2022",5
"This game is honestly addicting but I quite enjoy it, thought there are a few problems I experience when using an Samsung phone who I wish they could change. For example, at times it gets a little laggy, I cant do weekly bosses because of how bad it lags, I can't see my damage, my yunjin lags whenever I click on her on the character menu or in coop. I'd really appreciate if that could be changed.",34,"July 31, 2022",4
"I love the game, the storyline, the art, the environment, the character designs, i just love everything abt this game. (edit : is it just me, or is the ""police detention center"" domain in inazuma bugged, cuz whenever i tried to enter it it'd just turn into a black screen and i even waited for it to load but it never loaded, ive tried to enter it again a few times but it still wont work)",83,"July 29, 2022",5
"This game is a big leap for mobile gaming. The other games were as I would call them ""a work in progress"". But, this this game is advanced in controls. This was meant for PS4, XBOX and PC but the developers worked hard to bring this game to Mobile players and they did not sacrifice a feature the game is almost as same as the one on consoles and pc. Best Graphics, gameplay and storyline. Must download!",350,"September 11, 2022",5
"Lacks endgame content, however the storyline and lore are good. I really like the concept of the promindial one and I really like the Sumeru Archon Quests so far. I would like this game if they gave NPC'S some regonization too, like Rana, Ying'er or Dunyarzard. It's exploration, graphics and world bosses are great too. I hate the concept of resin though, just a waste of time in my opinion. The game would be better if they removed the concept of resin and it being all luck-based.",8,"September 8, 2022",4
"No game is perfect, but Genshin Impact does set a high bar for future gacha games to compete with. It has tons of detail, the world is fun to explore, and the story and characterwork is great stuff. The only thing I take issue with in the game is the Gacha system, but I can forgive it somewhat. Characters are much more developed in the game. They're not just PNGs or stats. And I think it sort of justifies it compared to other ""friendlier"" gachas where what you pull for isn't exciting at all.",20,"August 15, 2022",5
"The game has a lot of bugs that hasn't been fixed yet. Most importantly the bug where the auto target messes up everytime when I use my burst, targeting measly slimes instead of other bigger enemies on the opposite side. Please fix hoyoverse. But aside from these dumb issues, the story and the art are just amazing and the music is mesmerizing",74,"August 24, 2022",4
"This game is unparalleled (atm) and has riveting gameplay. The story and world building blew my mind, they definitely invested into the lore of the game. Furthermore, the music is insanely good, they have a whole orchestra! The art, scenery, puzzles (some), and land architecture are all exquisite. My only critique is that there needs to be repeatable endgame content (preferably multiplayer) (abyss doesn't count), more beginner friendly, fairer weapon banners, and the skip feature!",69,"July 31, 2022",5
"the game is beautiful but it would be great if you add the italian language and make it easier to get primogems i will give 5 stars just in case :) Aside from that, the gameplay is well done and the characters with an interesting story too, the music is just as good so it deserves to be played. I write it to you in English, maybe so listen to the problems of the users...",18,"August 30, 2022",2
"Hi!! I love the game! The melodies, the sceneries, the cut scenes, the action, the characters, everything! I don't have any problems but today. Our WiFi network was suddenly not working while I'm playing so I've decided to stop for a bit but then when the wifi came back and I opened my account, all my progress are gone. Like I need to play it all in the very beginning. Pls fix this!!! :'(( Edit: OMG. I got my account back within a day! Good job. Keep it up. You deserve 5 stars 🌟💞",89,"August 9, 2022",5
"I LOVE THIS!!! the graphics are incredible, each character has it's own tailored writing, and the gameplay is extraordinary especially for a MOBILE GAME!! keep in mind it does take up quite a lot of space, so if you wish to have this game you should clear up some things beforehand. Overall it's really fun, but I have to take off a star because of how it can feel pay-to-win at times. Keep it up Devs!",30,"July 12, 2022",4
"I love genshin it's really cool and all. Biggest problem is the space it takes and the lags on mobile but overall the graphics are gorgeous, the characters are nice and the story is really interesting! There's a lack of content for end game players but the new nations that will come will surely make up for it (I hope–) also, Scaramouche banner when?? 😔😔😔",33,"July 15, 2022",4
"The game is overall amazing. The storyline, the plot and so on. My only problem is that it's unfair to people with a slow phone since sometimes, you can't see numbers or when there is a cutscene it stops and it's just annoying. Please fix these so we can have better experience",6,"September 2, 2022",4
"Its a great game and all, tons of quest to make yourself busy with and great landscape and characters! but my problem is how i cant see the damage texts. Though, im quite grateful for fixing the character and boss texture bug because it was quite a hassle playing the game. Can you also make damage texts possible for low end devices too? Thank you and have a nice day",14,"July 13, 2022",4
"Overall the game's good and the characters are pretty fun to play too, there are also events that keep you busy even though only for a few days. Though... I would like to say that, maybe it's me that's too fast, but everytime after I finish an event, it feels like there's nothing left to do except doing commissions and domains everyday. It gets pretty boring as it repetitively is like that.. But! Since it feels like it is my own fault, this game is still a recommend! edit: HEIZOU LESGOOOOOOOOOO",60,"July 13, 2022",5
"I really love playing Genshin Impact. Graphics, storyline, charachters and awarding system are well made. 3rd perspective needs some improvement i think, sometimes while fighting, after getting a hit, i can't see my character or my enemies anymore. 2nd problem I'm facing is aiming with gyroscope while playing in Amber character. Its rate of functionality is 12%. Rest is good for me, I'm getting to like the game more and more. Good job and keep it up.",11,"August 15, 2022",4
"The game is 10/10 really well designed with a lot of events and well writen quests, the songs are true masterpieces. The voice actors did a great job aswell.. on the other side the community is pretty bad and I mean it, they are one of the most toxic playerbase. Ofcourse there are some good people too but they are kind of rare. As a conclusion yes it is worth your time, the game is new player friendly and youtube is full of tutorials to help you when you are stuck somewhere",7,"August 30, 2022",5
"This game is awesome, You can explore the map and make friends too. Sure it's a bit laggy on mobile but overall a good game. But there's this one thing, when i see some bodys of water it keeps glowing to the point that it became too bright so I would have to look away. Please fix this.",48,"August 17, 2022",4
"i LOVE this game very much but there are a few issues that affect the gameplay of mobile users.firstly, we cant see the ice in the game whenever we freeze water. secondly, the damage numbers. the number of damage done cannot be seen on a lot of mobile players' phone and without seeing the damage, players will not be able to improve their characters' builds. lastly, the grass effect in the game which is just a flat piece of land.i hope these problems are resolved soon to allow a better experience",5,"September 9, 2022",4
"Edit: I have found the way to turn off speech in this game and it becomes immensely better. I am docking a star due to the option to turn off speech being locked behind completing a certain amount of the game, don't know why sound settings aren't edit-able from the beginning... so for that reason alone, the game will lose a star. It runs fairly smoothly, has interesting mechanics, will add more when I eventually play more of this game. Definately worth playing for at least a day.",56,"July 24, 2022",4
"The game is good. It has alot of content in it, the story line is awesome also characters changing mechanism is very fun. I also love the fact I could join other peoples world and play with them or help them. Farming artifacts, bosses, domains and etc is overwhelming experience. The downsides are the gacha system, if I really wanted a specific character im required to pull, which means it cost currency so theres a small chance of me getting a 5 star. I highly recommend it tho. It's free and fun.",1,"September 10, 2022",5
"I really love the game. They have this characters that looked awesome with their elemental skills, especially when you get to try the other characters when you don't have them, it feels like you really have the character. And the quests is also mind-blowing because it's connected to the story and new bosses to fight. My Favorite Quest in the Game is The Archon Quest because it is the main quest of the story and you get to know everything that had happened in their past life.",9,"August 23, 2022",5
"Ever since the 2.8 update, I can no longer see the enemies' health. At first I thought I could just deal with it until it gets fixed by itself, but it's getting really really annoying. I also can't see my damage numbers. It's a really fun game overall, but these few things make the gameplay experience... not so nice.",23,"July 16, 2022",4
"Give it 3 stars because when combat gets hectic, the touch screen controls fail me all the time. The camera also always moves it's way closest to the ground so I constantly have to keep fixing it while fighting. PLEASE BRING MOBILE CONTROLLER SUPPORT TO THIS GAME ITS A MUST FOR THESE TYPES OF GAMES WHICH HAVE A LOT GOING ON AT ONCE. Playing for more than an hour gives me cramps in my hands and the constant fixing of camera and mis-clicks makes me dread playing it sometimes",14,"August 14, 2022",3
"I've played since 2.4, The game is good, I don't really have much problems but it's nice, there's some problems sometimes that when you quest talk to other people, it kinda glitches and it takes a lot of time to load. But mostly I recommend this game if you like rpg and nice characters, the game Is fun and the characters have amazing designs, I really love this game! Hope you do more amazing updates in the future, I really really recommend this game for you to play if you are bored.",10,"September 6, 2022",5
"Been playing this game ever since its release and always looking forward for new regions. I definitely want to play till the end of this game. Graphics and designs are all gorgeous. Pulling for characters I wanted is what I love in this game, however, the genesis crystal purchase is too expensive. More than a hundred dollar in my currency but not even 1 pity (90 pulls). That's the only problem I have with the game so far. It makes me want to spend less honestly.",7,"August 23, 2022",4
"The storyline is just amazing. This is quite one of the best games I ever played in a while, the characters have a amazing design with a amazing backstory. The map is big with everything to explore! The bosses have a great design and an amazing attacks! Overall this is a amazing game. recommended! Edit: hoyoverse if you see this, there's a problem when I join the game. It kicks me out everytime I need to join the game, please fix it if possible.",27,"August 25, 2022",5
"Great game, playing on my a52, it plays great. Update after playing for over a year, it's a beautiful game with amazing graphics and movement. Great story and soundtrack. However it can get boring at times when there isn't any events or when you've caught up to the story. At most on a daily bases you have at best about 30 mins to and HR worth of play time, if so much. The game needs end game content and needs to be more generous with it's gacha.",2,"August 24, 2022",5
"positive: the game gets better with every update, it's hard to run out of things to do. however on the negative side, the storage is ridiculous. i've had to delete so much off my phone to fit all of the updates and i know i won't be able to download sumeru when it releases in a couple of months. it's really the only bad thing i have to say about the game, other than the prices and lag. if you get the £90 bundle it doesn't even get you to max pity. plus, even on the lowest graphics it lags a lot.",224,"July 13, 2022",4
"At first i played just because of a friend, but this game amazes me in so many ways. The intricate details in lore, the gorgeous scenery, the character designs, the enemy design as well and the fighting system (now with dendro introduced), this game just keeps getting better and better.",1,"August 24, 2022",5
"Best game I have ever played, it's so fun to play. Sometimes crashes and quality is not so good but despite that I have so much fun while playing this game. It takes lot of storage space so I haven't played it for a while since I don't have sufficient storage, storage space needed is too much for my device to process. Last year my device had to go for repairing due to this game download. BUT It never gets boring, I have been playing this game for about 2 years now..",1,"September 8, 2022",5
"Amazing character design, game with the best lore, amazing world building, a really fun mechanic, the graphic is top tier and i love the art style. The pity could be really frustrating sometimes specially when you lost your 50/50. But overall it's one of the best game. P.S: Please give us a generous rewards for the 2nd annivs, since the first annivs we only got few fate",0,"September 11, 2022",5
"The game is beautiful, the quality of story writing has improved recently. There's no questions for animation and music quality, they're top notch. Some of the filler contents such as this summer event is very entertaining. However, it should be noted that the game is unfinished and is created for casual gameplay. Therefore, it might become repetitive very quickly. Another donwside to the game is the heavy grinding for in-game mats that's RNG based.",6,"August 11, 2022",4
"The game is great. Fantastic lore and story of each character, The game mechanics is a bit boring since it only have two skills (Including burst that's literally in need of energy point to release with cooldown of around 15s) and repeated attacks but they're smooth so getting tired playing one (/four) character repeatedly can be almost impossible, and the minigames around the world is fine but the event is better and I hope some of them can stay forever.",6,"August 24, 2022",5
"Starting a new journey on a new map, only in this recent update my frame rate suddenly freezes for 0.4-0.5 seconds every 3 seconds, I've lowered my graphics a bit but it is still there, plss look into this & some tips to minimize or remove this short freezing, characters' movements are not catching up to what they're currently saying, a bit awkward right now =_=""",1,"August 28, 2022",4
"LOVE LOVE LOVE it, changed my phone and the running is smoother than ever 😩❤️ Love all the graphics, the audio, the new characters, the excitement! I'm not a person to play hardcore RPG games on my phone but this is another level of fun 😍 It can be idle, exciting, exhilarating, calm, funny and everything all at the same time. Loved it ever since I downloaded it last year - never to be deleted 🥰🥰🥰",3,"August 24, 2022",5
"When I try updating Genshin for the Sumeru update, it says pending, once I left my phone for 30 mins and when I came back it still said pending, please fix this!! Overal its a verry good game, good graphics and love the character designs, I also love the lore and little stories, its verry detailed and also love the cutscenes! There is some lag and sometimes I get kicked out of the game for no reason, so maybe try to fix that! <3",3,"August 24, 2022",4
"I liked the game really ! But the thing is when everytime I used my burst to fight mobs (slimes , hilichurls , etc) it's health bar kept disappearing , I could only see it if I used a burst or a different angle but it disappeared after which makes my gaming experience harder especially when I'm currently using mobile to play the game , it doesn't apply bosses since they're health bar is on top of the screen instead of being on top of it's head like the mobs , please fix this issue ! Thank you<3",31,"August 16, 2022",3
"I'm at an extremely dull phase, not even remotely excited for Sumeru and the End Game and quality of life is still non-existent. Content is getting so boring and there's zero challenge or stimulation. I wish the developers would listen to the players. I have no reason to continue buying the battle pass, all my characters are maxed out and there's 0 customization. I have 0 reasons to play with friends and I feel like the competition has better rewarding exploration. You need to level up!!!",29,"August 17, 2022",4
Still the best game for me but as time goes by it gets boring doing all the things repeatedly just to upgrade things that takes time to gain. It's a bit difficult I get burnout and stop playing for days (game break) and go back to same scene again. Upgrading things makes me want to sleep instead.,0,"September 11, 2022",4
"From my experiences this game is actually pretty good, a lot of fun. I find it beautiful and interesting. I like the open world feature and the story. There's just one problem that I encountered, sometimes when I open the app, the Hoyoverse intro pops up but nothing else after that. I can't open the game. The only way I could open again is to reinstall and it is such a pain to wait for the update to finish, but other than that the game is really good. I hope you will fix it soon.",63,"August 17, 2022",4
"I've been playing this game for almost one year and i don't miss on playing it everyday. First of all the story is really awesome and the scenery of this game is top tier. It's been one year and I'm still mesmerized with the scenery, sometimes when I'm bored I'm just running when doing commission to appreciate the scenery and the music is so beautiful.",10,"August 14, 2022",5
"The open world concept truly makes me feel like I'm traveling inside the game itself . The lore , characters , THE MUSIC and everything about this game is awesome ! Genshin is mostly single-player but you can choose to play multi at your own convenience . The updates are regular , coming at every 6 weeks . But yeah, if you're considering to be f2p , then just know this ... the rewards system is not that great and you'll need A LOT of self-control T-T . All in all, imo it's a great game ! <3",49,"August 24, 2022",5
"Played since launch and it's my favorite game extremely good story, character design, 5* drops are good compared with other gatchas (because there's a guarantee) and I love the map exploration. The only problem is the 1st aniversary rewards they were not good anough even though they were redone it still wasn't enough, still hoping for good rewards on 2nd anni",16,"August 5, 2022",5
"THE GOOD: Good game, addictive, fun, good characters and nice graphics, the combat system is fun and the animations are cool, the gacha is OK but free prymogems are hard to grind. / The BAD: Censorship sucks, progression system is too slow, resin system is very limited and the artifact grinding is annoying and tiring, any other grinding is just like any other gacha but again resin is hard to get and slow to recharge.",32,"July 13, 2022",3
"ITS A AMAZING GAME!! it has outstanding graphics and it's entertaining because you always have something to do, but the one problem I have is that it takes a long long long long time to download things, I don't care about how hard the pulls are, that's how the game works but I'm just a little impatient about downloading stuff so that's my only complain otherwise it's the best game I've played yet :)",9,"August 24, 2022",4
"This game is an absolute masterpiece! The music the artstyle, the storyline, everything! It's just too perfect. I really hope they add a cross-save feature through servers in the future so I could play with my friends in another nation without losing progress.",3,"August 28, 2022",5
"My journey through teyvat has been great! Tho i experience some few bugs before like when an enemy is almost dead the health comes back and then when fishing bar is already full it still goes on, but it doesnt really bother me because it only happens sometimes but i hope you can fix it in version 3.0!! Goodluck Grinding Again Everyone!",11,"August 24, 2022",5
"The game is very high quality in presentation; the level of polish exceeds almost all mobile games and can even be compared to console titles. The downfall would be the rest of the game, gameplay as well as the mechanics. It may be unique but ends up tedium filled in the long term.",9,"August 14, 2022",3
"The game is totally worth it. Amazing graphics, characters and game play. I only owe to point out that the game needs all of my device's storage. Other than that, I encourage the developers to keep doing the Amazing work they've been doing for the past years!",0,"August 22, 2022",5
"I love this game!! I've been playing since June of 2021 and I've loved it since then. My only problem is how much storage it takes up especially if your a mobile player, like myself, and sometimes it won't work and will kick me off the app after I got a new phone. But those are my only two complaints, the game itself is SUPER fun, great characters, amazing story line, and you can play with other people too. Truly my favorite game!",1,"August 24, 2022",5
"Genshin Impact is a really good game. I immediately liked it when I started playing. I like the graphics, the character designs, the gameplay, and the functions of the game. I just hope that we can clip, sink and float objects in the serenitea pot. The serenitea pot allows players to be creative and make their own ideas and I hope that we can be more free about it. Nevertheless, the game is probably one of the best games that I've ever played:)",35,"August 23, 2022",5
